nom_bien,bien_id,url_rpcq,description_bien,synthese_historique,statut_juridique,date_attribution_stat_jurid_principal_actuel,categorie,autorite,latitude,longitude,the_geom,no_region_admin,region_admin,municipalite,adresse,debut_construction,fin_construction,usage,sous_usage,detenteur_photo,auteur_photo,licence_photo,date_licence_photo,url_photo
Aqueduc de la Rivière-Saint-Pierre,93276,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93276&type=bien,"L'aqueduc de la Rivière-Saint-Pierre est un ouvrage d'ingénierie construit en 1843 et 1844 pour l'ancien canal de Beauharnois. La structure en pierre de taille est composée d'un tunnel voûté, d'entrées en forme d'arc surbaissé et de murs de soutè","L'aqueduc de la Rivière-Saint-Pierre, construit en 1843 et 1844, fait partie de l'ancien canal de Beauharnois. Appartenant à la première génération de structures d'ingénierie au Québec et au Canada, ce dernier a été aménagé entre 1842 et 1845",Classement,2000-10-26,Site patrimonial,Ministère de la Culture et des Communications,45.29525,-73.987278,0106000020E61000000100000001030000000100000007000000747CA7FD597F52C02CC1C064D1A546405816C1473D7F52C0EB8E4937DDA546408A8F5CFA367F52C031705624E2A54640F401968CE87E52C0474C152902A64640A8738FE5E17E52C098ABC765F2A54640547680BC4D7F52C01417A850B5A54640747CA7FD597F52C02CC1C064D1A54640,16,Montérégie,Salaberry-de-Valleyfield,,1843,1844,"Transport, communication et services publics","Aqueducs, réservoirs d'eau et égoûts",Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=11931
Calvaire d'Oka,93537,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93537&type=bien,"Le calvaire d'Oka est un chemin de croix formé de sept édicules érigés entre 1740 et 1742. Les petites chapelles, en moellons crépis, sont coiffées de toits en pavillon ou à deux versants. Elles sont dotées d'ouvertures cintrées ou rectangulaire","Après la fondation de Québec en 1608, plusieurs communautés religieuses s'installent en Nouvelle-France pour répandre la parole de Dieu auprès des autochtones, et leur conversion soulève des problèmes d'ordre linguistique et culturel. Ces communau",Classement,1982-11-04,Site patrimonial,Ministère de la Culture et des Communications,45.481972,-74.064861,0106000020E6100000010000000103000000010000001200000084AF7815128452C07D0CC7A7CBBE4640267E17AC748352C0918CAAD3FFBD4640EF0918DE7E8352C0D1F72461F3BD4640444B98A87F8352C0E4CF9865E9BD4640F09B78BD6A8352C01B7A0404E1BD46402CD8174D6A8352C0AF20BE9AE3BD4640E3BF784D628352C0D33B2753CBBD4640CF9EB1C69D8352C0DC858F42A8BD4640B9D61704328452C07EDC58DB50BD4640E3601E8A7A8452C05CB74F1826BD46408AC1574C0E8552C05AEF26F8CEBC46404974794D518552C015A17E75A7BC4640FA817995638552C0010EA603C7BC4640F810799D3D8552C04764C15FF4BC4640967879CD3A8552C0346CE13A45BD464032891D3BB68452C0BCEDE8ADF3BD46404DC88F8F2E8452C098045330A6BE464084AF7815128452C07D0CC7A7CBBE4640,15,Laurentides,Oka,,1740,1742,Services et institutions,"Calvaires, croix de chemin et chemins de croix",,,,,
Domaine Cimon,92387,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92387&type=bien,"Le domaine Cimon est un ancien ensemble agricole aménagé à partir de la seconde moitié du XIXe siècle. La résidence, construite entre 1862 et 1870, est une maison québécoise d'influence néoclassique. La maison en pièce sur pièce lambrissée de","Le domaine Cimon est inclus dans une ancienne propriété agricole vendue en 1852 par le Séminaire de Québec au marchand André Cimon (1777-1853). Connue sous le nom de ferme Saint-Aubin, celle-ci est sise entre la rivière du Gouffre et le bras du Nor",Classement,1981-12-02,Site patrimonial,Ministère de la Culture et des Communications,47.443028,-70.506056,0106000020E6100000010000000103000000010000000C000000F61175D572A051C0DD622992AFB8474036F17AD56FA051C015E04499B2B84740361158946DA051C05CE37217BCB8474031046CAC69A051C04630CA7DBCB847400E7ECBF767A051C06DBDACE4BEB8474026BD25EF52A051C056662893BFB84740D241806756A051C0FD5C73A2B8B84740369F5CAE59A051C036EBBA01B0B847409A1D25645AA051C0DDF51EEFA7B8474085CD355C6CA051C07C55F456AEB847403E7662C36FA051C086C02FF5A9B84740F61175D572A051C0DD622992AFB84740,3,Capitale-Nationale,Baie-Saint-Paul,58 rue Saint-Jean-Baptiste¤50 rue Saint-Jean-Baptiste,,,Non applicable,Non applicable,Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2005,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=8597
Domaine des Messieurs-de-Saint-Sulpice,93303,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93303&type=bien,"Le domaine des Messieurs-de-Saint-Sulpice est un vaste ensemble institutionnel constitué à partir de 1675. Il comprend les tours du Fort-des-Messieurs-de-Saint-Sulpice (1685),  le Grand Séminaire (1855-1857), le Collège de Montréal (1868-1871), la r","L'histoire du domaine des Messieurs-de-Saint-Sulpice est étroitement associée à la création par les Sulpiciens d'une mission amérindienne dans leur domaine seigneurial au pied du mont Royal. Fondée en 1675, la mission prend d'abord la forme d'un vi",Classement,1982-05-26,Site patrimonial,Ministère de la Culture et des Communications,45.493889,-73.585833,0106000020E6100000010000000103000000010000002C0000006A24A1715F6552C03E0BEF6C79BF4640FE3166BC4E6552C0FDB3AF006BBF464056DA2AE8546552C004783FF55CBF4640A6BD6509626552C055322C133FBF464056F5474D656552C02D63BEDD37BF4640E2AED816686552C03D9A04A532BF4640BEA73D066C6552C0059F60F42BBF4640CED17854766552C0CC370A7D1FBF46400A339F5D856552C06E5B19700DBF4640922BD07E886552C09D94578509BF464046BF0A68966552C0BC49C796F8BE46400EC7CF4A996552C08D238A7FF4BE46409EB244B89D6552C076168FAFEDBE4640BE44F653A16552C025183899E7BE46405571A3E1A26552C0CDFCAE7BE8BE4640E62B2BBFAB6552C056E2C118F3BE4640B930B91BB46552C064879C74FDBE4640861CDAEEAF6552C08420421204BF464086CC24F0AA6552C004DB1EF00BBF4640E9D246E0B36552C0AD3EFB6818BF464026959FE6AB6552C0D588492F23BF464009BD6AC4A96552C09433D83026BF4640B544DEE5A66552C025C2C53B2ABF4640D2E20271A36552C034E6751A2FBF4640FE29D0E49D6552C0A6D662EB36BF464082ACCBDB9C6552C096D6FCAA39BF464025443F2A9A6552C085D0AFD140BF4640227D35709B6552C08E245C2D42BF46405A7AA0289D6552C0E4DF1C0344BF4640D9D99F779E6552C0C66C6C6845BF4640064E2BD69F6552C07DDD34D546BF46400AEDBE49996552C04E497EA855BF46404E3D82128F6552C06DA82DC96CBF4640E6C7D403926552C0FE21ED826FBF464069515B96896552C0AE6CAD0781BF46405E3BE7B3856552C045D1893682BF46409E5B6B99876552C0ACBE48307DBF4640E5EFCE7B7C6552C02504AC0C70BF4640A2E15265736552C01C17C6B184BF4640567EEE656D6552C024E2F37E85BF46403A11FF0A6D6552C05D3AC92881BF46408A832F66616552C0DD347A0077BF46401A95BB4A606552C04EACD35F78BF46406A24A1715F6552C03E0BEF6C79BF4640,6,Montréal,Montréal,rue Sherbrooke Ouest,,,,,,,,,
Domaine Joly-De Lotbinière,93116,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93116&type=bien,"Le domaine Joly-De Lotbinière est une vaste propriété bourgeoise de villégiature dont les premiers édifices ont été construits en 1851. Il se compose d'un manoir et d'une série de dépendances comprenant la maison des servantes, la remise aux voi","La seigneurie de Lotbinière est concédée en 1672 à René-Louis Chartier de Lotbinière (vers 1641-1709), substitut du procureur général au Conseil souverain et descendant d'une famille de la noblesse française. La famille Chartier n'habite pas la",Classement,1999-06-03,Site patrimonial,Ministère de la Culture et des Communications,46.667194,-71.848694,0106000020E610000001000000010300000001000000200000002297BA95FFF651C046BBC79F325547405ACC02BCF2F651C0559911283B5547403EFBE1BCE6F651C07423381F43554740E22741D2DFF651C06E7BA720455547405A661515D6F651C0D64D8C0F47554740462A1C4AE3F651C03E161D2858554740CEC10316DCF651C0DEBDBC21585547404629D332D4F651C0E61E2329585547404A6724D5D0F651C0942D1FDD58554740E24FD147CFF651C04DFE1C30595547406EE698EDCCF651C0F5D2DEA35A55474076DCA005C6F651C07634AE5E5D554740320C0AFCBFF651C0EEC07D9D5F5547407E3D4DF4BDF651C0842A8FFF6E554740C2C872F7BDF651C06EF299AB14564740CAEA27572FF651C01C3E1736E7554740766DC3AC1CF651C036502D16DC554740EE3B8DFED3F551C03529CD6BA05547408A9F7670A7F551C035B67F147B55474036CCC64E4DF551C00E96970F2F554740B29837704EF551C0DE049C3241544740229CCC2E4EF551C09E0A630B41544740EDA2AF204DF551C0FCA8424D3E54474052CD188B4BF551C0F618A1E936544740D2C5610A4BF551C00CB5D1F934544740D1A593F690F551C0D6E21DD82B54474042712B23D3F551C06442D0170D5447404E1C89F8D8F551C076E059F314544740961A39FEE8F551C0CD24DC0EF2534740C9B3D9E6EAF551C0BDEE6A8DF1534740EE5D1733A6F651C0659F0DE6CA5447402297BA95FFF651C046BBC79F32554740,12,Chaudière-Appalaches,Lotbinière¤Sainte-Croix,,1851,1851,Fonction résidentielle,Villas et maisons bourgeoises (domaine),Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=11705
Domaine Louis-Philippe-Hébert,92470,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92470&type=bien,"Le domaine Louis-Philippe-Hébert est un lieu de villégiature aménagé à partir de 1907. Le domaine comprend trois bâtiments, soit une maison (1907), une remise (1908) et un atelier (1914). Ces bâtiments aux volumes composites sont revêtus de planc","Louis-Philippe Hébert (1850-1917), l'un des plus importants sculpteurs de l'histoire du Québec, fait l'acquisition d'un terrain à l'île Bélair pendant l'été de 1906. Au moment de cette acquisition, Rosemère est en voie de devenir un lieu de vill",Classement,1991-09-24,Site patrimonial,Ministère de la Culture et des Communications,45.619389,-73.7975,0106000020E6100000010000000103000000010000000D00000005B85841017352C0C2AB4B5A4BCF4640E988EE72037352C0EB97D5A83CCF4640869CF4FB0B7352C02245C0343FCF4640FD2DEA02117352C0C65AA1B440CF46405322704F1D7352C08BD12F6044CF464022D4E9D21C7352C01303008245CF464022D4E9D21C7352C01303008245CF464022D4E9D21C7352C01303008245CF4640A5424A6A1C7352C09F2E341A47CF46406FE1D91C1B7352C075E0B6844BCF4640450757D6197352C0C809F0A94FCF46404C7FF01E197352C0699005FE51CF464005B85841017352C0C2AB4B5A4BCF4640,15,Laurentides,Rosemère,rue de l'Île-Bélair Ouest,,,Non applicable,Non applicable,Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=8988
Domaine seigneurial de l'Île-aux-Grues,92472,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92472&type=bien,Le domaine seigneurial de l'Île-aux-Grues est un ensemble composé d'un manoir (une résidence en T dont les parties les plus anciennes remontent à 1769) et de dépendances construites au XIXe siècle. Tous les bâtiments sont en bois et couverts de to,"L'histoire du domaine seigneurial de l'Île-aux-Grues débute en 1646 avec la concession de la seigneurie de la Rivière-du-Sud, qui comprend l'île aux Grues, à Charles Huault de Montmagny (1583-vers 1653). En 1668, deux officiers du régiment de Carig",Classement,1979-11-30,Site patrimonial,Ministère de la Culture et des Communications,47.075556,-70.517528,0106000020E610000001000000010300000001000000070000001B9C7DC711A151C0233C2C0486894740A8E671D338A151C0D5420AE6A789474051F7B37939A151C0F1151760A989474043CABE7B2EA151C0DA3DC3D1CE89474043D460A929A151C056E295CFDB894740B70DAFC7FBA051C0BAA017D9BC8947401B9C7DC711A151C0233C2C0486894740,12,Chaudière-Appalaches,Saint-Antoine-de-l'Isle-aux-Grues,320 chemin du Roi,1769,1873,Fonction résidentielle,Manoirs seigneuriaux,Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=202441
Domaine seigneurial de Saint-Ours,92494,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92494&type=bien,"Le domaine seigneurial de Saint-Ours est un ensemble comprenant un manoir, des dépendances et leur terrain. Le manoir est un imposant bâtiment en pierre de plan rectangulaire, à deux étages et demi, coiffé d'un toit à croupes. Il comporte une annex","L'histoire de la seigneurie de Saint-Ours débute en 1672, alors que l'intendant Jean Talon (1626-1694) concède à Pierre de Saint-Ours (1640-1724), capitaine du régiment de Carignan-Salières, une seigneurie située entre celles de Sorel et de Contrec",Classement,1982-02-25,Site patrimonial,Ministère de la Culture et des Communications,45.890222,-73.150194,0106000020E6100000010000000103000000010000000600000076EBBD4BAD4952C066E48C5C1FF24640D339298A964952C08739BEFB1FF24640551C10FA9F4952C0F635BB5A03F2464008784AAAA74952C0050AC2450BF24640A58AEAF5AE4952C047CB3F3112F2464076EBBD4BAD4952C066E48C5C1FF24640,16,Montérégie,Saint-Ours,2500 rue de l'Immaculée-Conception,1792,1792,Non applicable,Non applicable,,,,,
Domaine seigneurial Fraser,92570,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92570&type=bien,"Le domaine seigneurial Fraser comprend un manoir, ses dépendances et son terrain. Le manoir, construit en 1829, est un bâtiment de deux étages en brique rouge, coiffé d'un toit mansardé. Les dépendances comptent une glacière et une remise. L'ensem","Les origines du domaine seigneurial Fraser remontent à l'acquisition de la seigneurie de Rivière-du-Loup par Alexandre Fraser en 1802. Il en est alors le sixième seigneur. En 1829, il concède un terrain à Timothy Donohue qui y construit une résiden",Classement,1991-02-07,Site patrimonial,Ministère de la Culture et des Communications,47.841306,-69.538722,0106000020E6100000010000000103000000010000000C00000012A231F8936251C0C6A4F0859EEB47400A215B048A6251C0C5040921ACEB4740D107A8967B6251C0E51A9DDABFEB47409EB40AB2786251C0A6BB8C90AEEB474062C959BA7A6251C08C562549A8EB47409E0A93857B6251C06452E18DA6EB47404A32176B806251C046F7BEDF9BEB47407D2539E6856251C09DD2F2E3A1EB4740D60788BA886251C044E5EAC69CEB4740CE369D3F8D6251C015468103A2EB47404EE33058916251C05C3D1AA29BEB474012A231F8936251C0C6A4F0859EEB4740,1,Bas-Saint-Laurent,Rivière-du-Loup,32 rue Fraser,1829,1829,Fonction résidentielle,Manoirs seigneuriaux,Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=9386
Ensemble religieux de Saint-Paul-d'Abbotsford,93298,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93298&type=bien,"L'ensemble religieux de Saint-Paul-d'Abbotsford est formé de bâtiments et d'éléments paysagers datant du XIXe siècle. L'ensemble inclut l'église anglicane Saint-Paul, son cimetière, son presbytère et sa salle paroissiale ainsi que l'église Abbot","Dans la première décennie du XIXe siècle, des immigrants britanniques et américains viennent s'établir dans le Bas-Canada. Certains acquièrent des terres le long de la rivière Yamaska et dans les environs. Parmi eux, quelques-uns ouvrent le rang d",Classement,2004-04-08,Site patrimonial,Ministère de la Culture et des Communications,45.442778,-72.890167,0106000020E6100000010000000103000000010000000C0000007EE24A050F3952C04DAA94BAAFB846407AA5212B093952C0558452F6B2B8464052165E6A033952C065280824B6B8464022D309A2053952C0257B02F3BDB846402566DC05F63852C06ED72368C6B84640B656C412EB3852C02E2BD499A9B84640E2D6C358E23852C0D4A0AD879DB846404E0974A4E23852C0EC3138FD93B846406EA39E3CF93852C08E9FEACB9AB8464081317388FD3852C06E30E6D7A5B846402938D5D00D3952C0FEF60C05ABB846407EE24A050F3952C04DAA94BAAFB84640,16,Montérégie,Saint-Paul-d'Abbotsford,rang de la Montagne,,,Non applicable,Non applicable,,,,,
